"Hospital","State","Local Hospital Network (LHN)","Peer group","Interval","Time period","Patient cohort","Number of surgeries","","Median waiting time (days)",".1","Peer group median (days)",".2","Percentage who waited more than 365 days for surgery",".3","Peer group average",".4"
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2013–14","S07 Orthopaedic surgery","279","","190","","77","","0.0040000000000000001","","0.014",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2014–15","S07 Orthopaedic surgery","258","","106","","70","","0.019","","0.012",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2015–16","S07 Orthopaedic surgery","249","","153","","72","","0.0080000000000000002","","0.017999999999999999",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2016–17","S07 Orthopaedic surgery","322","","86","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2017–18","S07 Orthopaedic surgery","297","","89","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2016–17","S09 Urology","63","","49","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2017–18","S09 Urology","112","","67","","Not peered","","0","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2012–13","S11 Other surgery","<5","","NP","","16","","NP","","0.014",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2013–14","S11 Other surgery","14","","15","","15","","NP","","0.002",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2014–15","S11 Other surgery","7","","NP","","15","","NP","","0.002",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2015–16","S11 Other surgery","<5","","NP","","16","","NP","","0.0040000000000000001",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2016–17","S11 Other surgery","5","","NP","","Not peered","","NP","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2017–18","S11 Other surgery","15","","7","","Not peered","","NP","","Not peered",""
"Armidale Hospital","NSW","Hunter New England","Medium regional hospitals","FY","2017–18","S12 Paediatric surgery","5","","NP","","Not peered","","NP","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2011–12","S02 Ear, nose and throat surgery","519","","219","","95","","0.053999999999999999","","0.045999999999999999",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2012–13","S02 Ear, nose and throat surgery","598","","268","","104","","0.0080000000000000002","","0.035999999999999997",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2013–14","S02 Ear, nose and throat surgery","587","","301","","113","","0.01","","0.031",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2014–15","S02 Ear, nose and throat surgery","629","","301","","119","","0.0060000000000000001","","0.025",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2015–16","S02 Ear, nose and throat surgery","494","","287","","99","","0","","0.0060000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2016–17","S02 Ear, nose and throat surgery","565","","321","","Not peered","","0.0040000000000000001","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2017–18","S02 Ear, nose and throat surgery","679","","305","","Not peered","","0.0040000000000000001","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2011–12","S03 General surgery","1167","","81","","47","","0.012","","0.023",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2012–13","S03 General surgery","1149","","56","","41","","0.0030000000000000001","","0.0080000000000000002",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2013–14","S03 General surgery","1385","","66","","35","","0.002","","0.0040000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2014–15","S03 General surgery","1106","","69","","35","","0.001","","0.002",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2015–16","S03 General surgery","1035","","70","","33","","0","","0.002",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2016–17","S03 General surgery","1033","","60","","Not peered","","0","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2017–18","S03 General surgery","906","","62","","Not peered","","0","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2011–12","S04 Gynaecology","320","","62","","37","","0","","0.0030000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2012–13","S04 Gynaecology","306","","57","","35","","0.0070000000000000001","","0.0070000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2013–14","S04 Gynaecology","511","","39","","33","","0","","0.005",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2014–15","S04 Gynaecology","490","","31","","35","","0.002","","0.0040000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2015–16","S04 Gynaecology","542","","39","","29","","0","","0.001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2016–17","S04 Gynaecology","465","","33","","Not peered","","0","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2017–18","S04 Gynaecology","519","","34","","Not peered","","0","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2016–17","S07 Orthopaedic surgery","26","","13","","Not peered","","NP","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2017–18","S07 Orthopaedic surgery","23","","52","","Not peered","","NP","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2011–12","S08 Plastic surgery","850","","82","","30","","0.034000000000000002","","0.05",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2012–13","S08 Plastic surgery","862","","84","","29","","0.014","","0.019",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2013–14","S08 Plastic surgery","821","","73","","35","","0.0040000000000000001","","0.021000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2014–15","S08 Plastic surgery","862","","70","","33","","0.0089999999999999993","","0.017000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2015–16","S08 Plastic surgery","773","","70","","38","","0.001","","0.010999999999999999",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2016–17","S08 Plastic surgery","883","","59","","Not peered","","0.001","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2017–18","S08 Plastic surgery","687","","76","","Not peered","","0.001","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2011–12","S10 Vascular surgery","154","","93","","113","","0.019","","0.17",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2012–13","S10 Vascular surgery","158","","122","","75","","0.0060000000000000001","","0.085",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2013–14","S10 Vascular surgery","173","","183","","56","","0.0060000000000000001","","0.017999999999999999",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2014–15","S10 Vascular surgery","143","","252","","84","","0","","0.114",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2015–16","S10 Vascular surgery","122","","184","","114","","0","","0.025999999999999999",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2016–17","S10 Vascular surgery","114","","181","","Not peered","","0","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2017–18","S10 Vascular surgery","116","","113","","Not peered","","0","","Not peered",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2011–12","S11 Other surgery","<5","","NP","","23","","NP","","0.002",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2012–13","S11 Other surgery","6","","NP","","37","","NP","","0.0040000000000000001",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2013–14","S11 Other surgery","36","","103","","38","","NP","","0.0080000000000000002",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2014–15","S11 Other surgery","<5","","NP","","28","","NP","","0.002",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2015–16","S11 Other surgery","<5","","NP","","27","","NP","","0",""
"Auburn Hospital","NSW","Western Sydney","Medium metropolitan hospitals","FY","2017–18","S12 Paediatric surgery","52","","27","","Not peered","","0","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2014–15","S02 Ear, nose and throat surgery","38","","42","","83","","NP","","0.028000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2015–16","S02 Ear, nose and throat surgery","83","","42","","78","","0","","0.04",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2016–17","S02 Ear, nose and throat surgery","88","","38","","Not peered","","0.010999999999999999","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2017–18","S02 Ear, nose and throat surgery","75","","52","","Not peered","","0","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2011–12","S03 General surgery","451","","29","","28","","0.0040000000000000001","","0.0040000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2012–13","S03 General surgery","535","","41","","27","","0","","0.002",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2013–14","S03 General surgery","552","","37","","28","","0","","0.002",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2014–15","S03 General surgery","534","","49","","29","","0.0060000000000000001","","0.0030000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2015–16","S03 General surgery","560","","45","","31","","0.029000000000000001","","0.0030000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2016–17","S03 General surgery","595","","48","","Not peered","","0.012","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2017–18","S03 General surgery","517","","48","","Not peered","","0.002","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2013–14","S04 Gynaecology","63","","38","","29","","0","","0.001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2014–15","S04 Gynaecology","97","","25","","28","","0","","0.001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2015–16","S04 Gynaecology","124","","32","","29","","0","","0.001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2016–17","S04 Gynaecology","135","","42","","Not peered","","0","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2017–18","S04 Gynaecology","128","","52","","Not peered","","0","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2011–12","S09 Urology","107","","18","","28","","0","","0.025",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2012–13","S09 Urology","117","","27","","20","","0","","0.012",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2013–14","S09 Urology","129","","35","","18","","0","","0.002",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2014–15","S09 Urology","157","","27","","19","","0","","0.0030000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2015–16","S09 Urology","180","","27","","23","","0.010999999999999999","","0.001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2016–17","S09 Urology","164","","25","","Not peered","","0.012","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2017–18","S09 Urology","165","","27","","Not peered","","0","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2011–12","S10 Vascular surgery","98","","77","","79","","0","","0.0040000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2012–13","S10 Vascular surgery","87","","76","","79","","0","","0.028000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2013–14","S10 Vascular surgery","81","","122","","87","","0","","0.012",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2014–15","S10 Vascular surgery","108","","139","","88","","0","","0.017999999999999999",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2015–16","S10 Vascular surgery","98","","175","","104","","0","","0.015",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2016–17","S10 Vascular surgery","101","","193","","Not peered","","0","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2017–18","S10 Vascular surgery","106","","224","","Not peered","","0","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2011–12","S11 Other surgery","<5","","NP","","35","","NP","","0.0070000000000000001",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2017–18","S11 Other surgery","9","","NP","","Not peered","","NP","","Not peered",""
"Ballina Hospital","NSW","Northern NSW","Small hospitals","FY","2017–18","S12 Paediatric surgery","<5","","NP","","Not peered","","NP","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S02 Ear, nose and throat surgery","373","","279","","69","","0.24399999999999999","","0.072999999999999995",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S02 Ear, nose and throat surgery","358","","283","","74","","0.218","","0.082000000000000003",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S02 Ear, nose and throat surgery","247","","255","","79","","0.032000000000000001","","0.049000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S02 Ear, nose and throat surgery","522","","268","","78","","0.070999999999999994","","0.047",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S02 Ear, nose and throat surgery","552","","216","","74","","0.010999999999999999","","0.056000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S02 Ear, nose and throat surgery","415","","155","","Not peered","","0.0070000000000000001","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S02 Ear, nose and throat surgery","305","","133","","Not peered","","0.0070000000000000001","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S03 General surgery","1563","","50","","35","","0.012","","0.017000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S03 General surgery","1631","","46","","35","","0.0080000000000000002","","0.016",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S03 General surgery","1667","","44","","35","","0.0030000000000000001","","0.01",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S03 General surgery","1596","","36","","33","","0.0070000000000000001","","0.0060000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S03 General surgery","1579","","42","","33","","0.0040000000000000001","","0.0070000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S03 General surgery","1681","","30","","Not peered","","0.001","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S03 General surgery","1598","","28","","Not peered","","0.0030000000000000001","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S04 Gynaecology","440","","49","","35","","0","","0.012",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S04 Gynaecology","438","","45","","36","","0","","0.015",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S04 Gynaecology","477","","62","","39","","0.015","","0.017000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S04 Gynaecology","495","","89","","38","","0.0080000000000000002","","0.0080000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S04 Gynaecology","480","","69","","39","","0.0040000000000000001","","0.012",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S04 Gynaecology","514","","49","","Not peered","","0","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S04 Gynaecology","493","","57","","Not peered","","0","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S05 Neurosurgery","52","","95","","73","","0.019","","0.029000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S05 Neurosurgery","68","","116","","70","","0","","0",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S05 Neurosurgery","58","","49","","47","","0","","0.0040000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S05 Neurosurgery","61","","43","","49","","0","","0.033000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S05 Neurosurgery","46","","33","","14","","NP","","0.016",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S05 Neurosurgery","43","","68","","Not peered","","NP","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S05 Neurosurgery","39","","58","","Not peered","","NP","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S06 Ophthalmology","322","","272","","60","","0.078","","0.031",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S06 Ophthalmology","333","","342","","69","","0.17699999999999999","","0.035",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S06 Ophthalmology","357","","330","","73","","0.014","","0.0070000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S06 Ophthalmology","373","","342","","79","","0.062","","0.0070000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S06 Ophthalmology","708","","144","","76","","0","","0.017000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S06 Ophthalmology","562","","100","","Not peered","","0","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S06 Ophthalmology","523","","243","","Not peered","","0","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S07 Orthopaedic surgery","890","","232","","68","","0.111","","0.057000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S07 Orthopaedic surgery","847","","197","","72","","0.11600000000000001","","0.053999999999999999",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S07 Orthopaedic surgery","720","","258","","70","","0.06","","0.050999999999999997",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S07 Orthopaedic surgery","693","","258","","62","","0.025","","0.028000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S07 Orthopaedic surgery","723","","280","","65","","0.088999999999999996","","0.039",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S07 Orthopaedic surgery","845","","175","","Not peered","","0.070999999999999994","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S07 Orthopaedic surgery","774","","130","","Not peered","","0.019","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S08 Plastic surgery","294","","52","","19","","0.0030000000000000001","","0.021000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S08 Plastic surgery","340","","46","","22","","0.0060000000000000001","","0.032000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S08 Plastic surgery","340","","50","","23","","0.0030000000000000001","","0.035999999999999997",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S08 Plastic surgery","317","","54","","16","","0.016","","0.015",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S08 Plastic surgery","330","","35","","19","","0.012","","0.019",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S08 Plastic surgery","346","","33","","Not peered","","0.0030000000000000001","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S08 Plastic surgery","391","","29","","Not peered","","0.005","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S09 Urology","1059","","42","","25","","0.019","","0.0080000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S09 Urology","1135","","59","","25","","0.021000000000000001","","0.0070000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S09 Urology","1199","","65","","25","","0.02","","0.0080000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S09 Urology","1213","","63","","23","","0.005","","0.0030000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S09 Urology","1130","","28","","24","","0.025","","0.005",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S09 Urology","1078","","28","","Not peered","","0.019","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S09 Urology","1117","","26","","Not peered","","0.0089999999999999993","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S10 Vascular surgery","321","","30","","21","","0.056000000000000001","","0.028000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2012–13","S10 Vascular surgery","338","","47","","21","","0.065","","0.033000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2013–14","S10 Vascular surgery","352","","56","","22","","0.070999999999999994","","0.037999999999999999",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2014–15","S10 Vascular surgery","336","","78","","22","","0.068000000000000005","","0.048000000000000001",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2015–16","S10 Vascular surgery","316","","51","","25","","0.079000000000000001","","0.033000000000000002",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2016–17","S10 Vascular surgery","281","","43","","Not peered","","0.088999999999999996","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2017–18","S10 Vascular surgery","296","","32","","Not peered","","0.060999999999999999","","Not peered",""
"Bankstown Lidcombe Hospital","NSW","South Western Sydney","Large metropolitan hospitals","FY","2011–12","S11 Other surgery","<5","","NP","","27","","NP","","0.0030000000000000001",""
