"Hospital","State","Services"
"Bankstown Lidcombe Hospital","NSW","Rehabilitation unit"
"Baradine Multi Purpose Service","NSW","Emergency department"
"Baradine Multi Purpose Service","NSW","Nursing home care unit"
"Barham Hospital","NSW","Domiciliary care unit"
"Barham Hospital","NSW","Emergency department"
"Barham Hospital","NSW","Nursing home care unit"
"Barraba Multi Purpose Service","NSW","Domiciliary care unit"
"Barraba Multi Purpose Service","NSW","Emergency department"
"Barraba Multi Purpose Service","NSW","Hospice care unit"
"Barraba Multi Purpose Service","NSW","Nursing home care unit"
"Batemans Bay Hospital","NSW","Alcohol and drug unit"
"Batemans Bay Hospital","NSW","Domiciliary care unit"
"Batemans Bay Hospital","NSW","Emergency department"
"Batemans Bay Hospital","NSW","Rehabilitation unit"
"Bathurst Health Service","NSW","Acute renal dialysis unit"
"Bathurst Health Service","NSW","Coronary care unit"
"Bathurst Health Service","NSW","Emergency department"
"Bathurst Health Service","NSW","Intensive care unit"
"Bathurst Health Service","NSW","Maintenance renal dialysis unit"
"Bathurst Health Service","NSW","Obstetric services"
"Bathurst Health Service","NSW","Paediatric service"
"Bathurst Health Service","NSW","Psychiatric unit"
"Batlow/Adelong Multi Purpose Service","NSW","Domiciliary care unit"
"Batlow/Adelong Multi Purpose Service","NSW","Emergency department"
"Batlow/Adelong Multi Purpose Service","NSW","Nursing home care unit"
"Bellinger River District Hospital","NSW","Domiciliary care unit"
"Bellinger River District Hospital","NSW","Emergency department"
"Bellinger River District Hospital","NSW","Hospice care unit"
"Belmont Hospital","NSW","Alcohol and drug unit"
"Belmont Hospital","NSW","Coronary care unit"
"Belmont Hospital","NSW","Domiciliary care unit"
"Belmont Hospital","NSW","Emergency department"
"Belmont Hospital","NSW","Geriatric assessment unit"
"Belmont Hospital","NSW","Nursing home care unit"
"Belmont Hospital","NSW","Obstetric services"
"Belmont Hospital","NSW","Rehabilitation unit"
"Berrigan Multi Purpose Service","NSW","Domiciliary care unit"
"Berrigan Multi Purpose Service","NSW","Emergency department"
"Berrigan Multi Purpose Service","NSW","Nursing home care unit"
"Bingara Multi Purpose Service","NSW","Emergency department"
"Bingara Multi Purpose Service","NSW","Nursing home care unit"
"Blacktown Hospital","NSW","Cardiac surgery unit"
"Blacktown Hospital","NSW","Diabetes unit"
"Blacktown Hospital","NSW","Emergency department"
"Blacktown Hospital","NSW","Geriatric assessment unit"
"Blacktown Hospital","NSW","Intensive care unit"
"Blacktown Hospital","NSW","Maintenance renal dialysis unit"
"Blacktown Hospital","NSW","Obstetric services"
"Blacktown Hospital","NSW","Oncology unit"
"Blacktown Hospital","NSW","Psychiatric unit"
"Blacktown Hospital","NSW","Rehabilitation unit"
"Blayney Multi Purpose Service","NSW","Emergency department"
"Blayney Multi Purpose Service","NSW","Nursing home care unit"
"Blue Mountains Hospital","NSW","Alcohol and drug unit"
"Blue Mountains Hospital","NSW","Domiciliary care unit"
"Blue Mountains Hospital","NSW","Emergency department"
"Blue Mountains Hospital","NSW","Geriatric assessment unit"
"Blue Mountains Hospital","NSW","Hospice care unit"
"Blue Mountains Hospital","NSW","Obstetric services"
"Blue Mountains Hospital","NSW","Paediatric service"
"Blue Mountains Hospital","NSW","Psychiatric unit"
"Blue Mountains Hospital","NSW","Rehabilitation unit"
"Boggabri Multi Purpose Service","NSW","Domiciliary care unit"
"Boggabri Multi Purpose Service","NSW","Emergency department"
"Boggabri Multi Purpose Service","NSW","Hospice care unit"
"Boggabri Multi Purpose Service","NSW","Nursing home care unit"
"Bombala Multi Purpose Service","NSW","Alcohol and drug unit"
"Bombala Multi Purpose Service","NSW","Domiciliary care unit"
"Bombala Multi Purpose Service","NSW","Emergency department"
"Bombala Multi Purpose Service","NSW","Nursing home care unit"
"Boorowa Multi Purpose Service","NSW","Domiciliary care unit"
"Boorowa Multi Purpose Service","NSW","Emergency department"
"Boorowa Multi Purpose Service","NSW","Nursing home care unit"
"Bourke Multi Purpose Service","NSW","Emergency department"
"Bourke Multi Purpose Service","NSW","Maintenance renal dialysis unit"
"Bourke Multi Purpose Service","NSW","Nursing home care unit"
"Bourke Street Health Service","NSW","Geriatric assessment unit"
"Bourke Street Health Service","NSW","Hospice care unit"
"Bourke Street Health Service","NSW","Oncology unit"
"Bourke Street Health Service","NSW","Psychiatric unit"
"Bourke Street Health Service","NSW","Rehabilitation unit"
"Bowral Hospital","NSW","Emergency department"
"Bowral Hospital","NSW","Geriatric assessment unit"
"Bowral Hospital","NSW","Obstetric services"
"Bowral Hospital","NSW","Paediatric service"
"Braeside Hospital","NSW","Domiciliary care unit"
"Braeside Hospital","NSW","Hospice care unit"
"Braeside Hospital","NSW","Psychiatric unit"
"Braeside Hospital","NSW","Rehabilitation unit"
"Braidwood Multi Purpose Service","NSW","Alcohol and drug unit"
"Braidwood Multi Purpose Service","NSW","Domiciliary care unit"
"Braidwood Multi Purpose Service","NSW","Emergency department"
"Braidwood Multi Purpose Service","NSW","Nursing home care unit"
"Brewarrina Multi Purpose Service","NSW","Emergency department"
"Brewarrina Multi Purpose Service","NSW","Maintenance renal dialysis unit"
"Brewarrina Multi Purpose Service","NSW","Nursing home care unit"
"Broken Hill Hospital","NSW","Alcohol and drug unit"
"Broken Hill Hospital","NSW","Domiciliary care unit"
"Broken Hill Hospital","NSW","Emergency department"
"Broken Hill Hospital","NSW","Geriatric assessment unit"
"Broken Hill Hospital","NSW","Intensive care unit"
"Broken Hill Hospital","NSW","Maintenance renal dialysis unit"
"Broken Hill Hospital","NSW","Obstetric services"
"Broken Hill Hospital","NSW","Oncology unit"
"Broken Hill Hospital","NSW","Paediatric service"
"Broken Hill Hospital","NSW","Psychiatric unit"
"Broken Hill Hospital","NSW","Rehabilitation unit"
"Bulahdelah Hospital","NSW","Domiciliary care unit"
"Bulli Hospital","NSW","Alcohol and drug unit"
"Bulli Hospital","NSW","Domiciliary care unit"
"Bulli Hospital","NSW","Geriatric assessment unit"
"Byron Central Hospital","NSW","Alcohol and drug unit"
"Byron Central Hospital","NSW","Emergency department"
"Byron Central Hospital","NSW","Obstetric services"
"Byron Central Hospital","NSW","Oncology unit"
"Byron Central Hospital","NSW","Psychiatric unit"
"Calvary Hospital","NSW","Domiciliary care unit"
"Calvary Hospital","NSW","Hospice care unit"
"Calvary Hospital","NSW","Rehabilitation unit"
"Calvary Mater Newcastle Hospital","NSW","Alcohol and drug unit"
"Calvary Mater Newcastle Hospital","NSW","Bone marrow transplantation unit"
"Calvary Mater Newcastle Hospital","NSW","Coronary care unit"
"Calvary Mater Newcastle Hospital","NSW","Emergency department"
"Calvary Mater Newcastle Hospital","NSW","Hospice care unit"
"Calvary Mater Newcastle Hospital","NSW","Intensive care unit"
"Calvary Mater Newcastle Hospital","NSW","Major plastic or reconstructive surgery unit"
"Calvary Mater Newcastle Hospital","NSW","Oncology unit"
"Camden Hospital","NSW","Emergency department"
"Camden Hospital","NSW","Geriatric assessment unit"
"Camden Hospital","NSW","Hospice care unit"
"Camden Hospital","NSW","Rehabilitation unit"
"Campbelltown Hospital","NSW","Alcohol and drug unit"
"Campbelltown Hospital","NSW","Clinical genetics unit"
"Campbelltown Hospital","NSW","Coronary care unit"
"Campbelltown Hospital","NSW","Diabetes unit"
"Campbelltown Hospital","NSW","Emergency department"
"Campbelltown Hospital","NSW","Geriatric assessment unit"
"Campbelltown Hospital","NSW","Infectious diseases unit"
"Campbelltown Hospital","NSW","Intensive care unit"
"Campbelltown Hospital","NSW","Maintenance renal dialysis unit"
"Campbelltown Hospital","NSW","Obstetric services"
"Campbelltown Hospital","NSW","Oncology unit"
"Campbelltown Hospital","NSW","Paediatric service"
"Campbelltown Hospital","NSW","Psychiatric unit"
"Canowindra Hospital","NSW","Emergency department"
"Canterbury Hospital","NSW","Acute renal dialysis unit"
"Canterbury Hospital","NSW","Alcohol and drug unit"
"Canterbury Hospital","NSW","Coronary care unit"
"Canterbury Hospital","NSW","Diabetes unit"
"Canterbury Hospital","NSW","Emergency department"
"Canterbury Hospital","NSW","Geriatric assessment unit"
"Canterbury Hospital","NSW","Intensive care unit"
"Canterbury Hospital","NSW","Obstetric services"
"Canterbury Hospital","NSW","Paediatric service"
"Canterbury Hospital","NSW","Rehabilitation unit"
"Casino Hospital","NSW","Emergency department"
"Cessnock Hospital","NSW","Emergency department"
"Cessnock Hospital","NSW","Hospice care unit"
"Cobar Health Service","NSW","Emergency department"
"Cobar Health Service","NSW","Maintenance renal dialysis unit"
"Coffs Harbour Hospital","NSW","Acute renal dialysis unit"
"Coffs Harbour Hospital","NSW","Alcohol and drug unit"
"Coffs Harbour Hospital","NSW","Coronary care unit"
"Coffs Harbour Hospital","NSW","Domiciliary care unit"
"Coffs Harbour Hospital","NSW","Emergency department"
"Coffs Harbour Hospital","NSW","Intensive care unit"
"Coffs Harbour Hospital","NSW","Maintenance renal dialysis unit"
"Coffs Harbour Hospital","NSW","Obstetric services"
"Coffs Harbour Hospital","NSW","Oncology unit"
"Coffs Harbour Hospital","NSW","Paediatric service"
"Coffs Harbour Hospital","NSW","Psychiatric unit"
"Coffs Harbour Hospital","NSW","Rehabilitation unit"
"Coledale Hospital","NSW","Alcohol and drug unit"
"Coledale Hospital","NSW","Domiciliary care unit"
"Coledale Hospital","NSW","Geriatric assessment unit"
"Coledale Hospital","NSW","Rehabilitation unit"
"Collarenebri Multi Purpose Service","NSW","Emergency department"
"Collarenebri Multi Purpose Service","NSW","Nursing home care unit"
"Concord Hospital","NSW","Acute renal dialysis unit"
"Concord Hospital","NSW","AIDS unit"
"Concord Hospital","NSW","Alcohol and drug unit"
"Concord Hospital","NSW","Burns unit"
"Concord Hospital","NSW","Cardiac surgery unit"
"Concord Hospital","NSW","Clinical genetics unit"
"Concord Hospital","NSW","Coronary care unit"
"Concord Hospital","NSW","Diabetes unit"
"Concord Hospital","NSW","Emergency department"
"Concord Hospital","NSW","Epilepsy centre"
"Concord Hospital","NSW","Geriatric assessment unit"
"Concord Hospital","NSW","Hospice care unit"
"Concord Hospital","NSW","Infectious diseases unit"
"Concord Hospital","NSW","Intensive care unit"
"Concord Hospital","NSW","Maintenance renal dialysis unit"
"Concord Hospital","NSW","Major plastic or reconstructive surgery unit"
"Concord Hospital","NSW","Neurosurgical unit"
"Concord Hospital","NSW","Oncology unit"
"Concord Hospital","NSW","Psychiatric unit"
"Concord Hospital","NSW","Rehabilitation unit"
"Condobolin Health Service","NSW","Emergency department"
"Coolah Multi Purpose Service","NSW","Emergency department"
"Coolah Multi Purpose Service","NSW","Nursing home care unit"
"Coolamon Multi Purpose Service","NSW","Domiciliary care unit"
"Coolamon Multi Purpose Service","NSW","Emergency department"
"Coolamon Multi Purpose Service","NSW","Nursing home care unit"
"Cooma Hospital","NSW","Alcohol and drug unit"
"Cooma Hospital","NSW","Domiciliary care unit"
"Cooma Hospital","NSW","Emergency department"
"Cooma Hospital","NSW","Geriatric assessment unit"
"Cooma Hospital","NSW","Maintenance renal dialysis unit"
"Cooma Hospital","NSW","Obstetric services"
"Cooma Hospital","NSW","Oncology unit"
"Cooma Hospital","NSW","Rehabilitation unit"
"Coonabarabran Health Service","NSW","Emergency department"
"Coonabarabran Health Service","NSW","Maintenance renal dialysis unit"
"Coonabarabran Health Service","NSW","Nursing home care unit"
"Coonamble Multi Purpose Service","NSW","Emergency department"
"Coonamble Multi Purpose Service","NSW","Maintenance renal dialysis unit"
"Coonamble Multi Purpose Service","NSW","Nursing home care unit"
"Cootamundra Hospital","NSW","Domiciliary care unit"
"Cootamundra Hospital","NSW","Emergency department"
"Cootamundra Hospital","NSW","Geriatric assessment unit"
"Cootamundra Hospital","NSW","Obstetric services"
"Coral Tree Family Centre","NSW","Psychiatric unit"
"Corowa Hospital","NSW","Domiciliary care unit"
"Corowa Hospital","NSW","Emergency department"
"Corowa Hospital","NSW","Geriatric assessment unit"
"Corowa Hospital","NSW","Nursing home care unit"
"Cowra Health Service","NSW","Emergency department"
"Cowra Health Service","NSW","Maintenance renal dialysis unit"
"Cowra Health Service","NSW","Obstetric services"
"Cowra Health Service","NSW","Oncology unit"
"Crookwell Hospital","NSW","Alcohol and drug unit"
"Crookwell Hospital","NSW","Domiciliary care unit"
"Crookwell Hospital","NSW","Emergency department"
"Culcairn Multi Purpose Service","NSW","Domiciliary care unit"
"Culcairn Multi Purpose Service","NSW","Emergency department"
"Culcairn Multi Purpose Service","NSW","Nursing home care unit"
"Cumberland Hospital","NSW","Alcohol and drug unit"
"Cumberland Hospital","NSW","Psychiatric unit"
"David Berry Hospital","NSW","Alcohol and drug unit"
"David Berry Hospital","NSW","Domiciliary care unit"
"David Berry Hospital","NSW","Geriatric assessment unit"
"David Berry Hospital","NSW","Hospice care unit"
"David Berry Hospital","NSW","Rehabilitation unit"
"Delegate Multi Purpose Service","NSW","Alcohol and drug unit"
"Delegate Multi Purpose Service","NSW","Domiciliary care unit"
"Delegate Multi Purpose Service","NSW","Emergency department"
"Delegate Multi Purpose Service","NSW","Nursing home care unit"
"Deniliquin Hospital","NSW","Alcohol and drug unit"
"Deniliquin Hospital","NSW","Domiciliary care unit"
"Deniliquin Hospital","NSW","Emergency department"
"Deniliquin Hospital","NSW","Geriatric assessment unit"
"Deniliquin Hospital","NSW","Maintenance renal dialysis unit"
"Deniliquin Hospital","NSW","Obstetric services"
"Deniliquin Hospital","NSW","Rehabilitation unit"
"Denman Multi Purpose Service","NSW","Emergency department"
"Denman Multi Purpose Service","NSW","Hospice care unit"
"Denman Multi Purpose Service","NSW","Nursing home care unit"
"Dorrigo Multi Purpose Service","NSW","Domiciliary care unit"
"Dorrigo Multi Purpose Service","NSW","Emergency department"
"Dorrigo Multi Purpose Service","NSW","Nursing home care unit"
"Dubbo Hospital","NSW","Acute renal dialysis unit"
"Dubbo Hospital","NSW","Alcohol and drug unit"
"Dubbo Hospital","NSW","Coronary care unit"
"Dubbo Hospital","NSW","Diabetes unit"
"Dubbo Hospital","NSW","Emergency department"
"Dubbo Hospital","NSW","Intensive care unit"
"Dubbo Hospital","NSW","Maintenance renal dialysis unit"
"Dubbo Hospital","NSW","Neonatal intensive care unit"
"Dubbo Hospital","NSW","Obstetric services"
"Dubbo Hospital","NSW","Oncology unit"
"Dubbo Hospital","NSW","Paediatric service"
"Dubbo Hospital","NSW","Psychiatric unit"
"Dunedoo Multi Purpose Service","NSW","Emergency department"
"Dunedoo Multi Purpose Service","NSW","Nursing home care unit"
"Dungog Hospital","NSW","Emergency department"
"Dungog Hospital","NSW","Hospice care unit"
"Eugowra Multipurpose Service","NSW","Nursing home care unit"
"Fairfield Hospital","NSW","Alcohol and drug unit"
"Fairfield Hospital","NSW","Domiciliary care unit"
"Fairfield Hospital","NSW","Emergency department"
"Fairfield Hospital","NSW","Geriatric assessment unit"
"Fairfield Hospital","NSW","Maintenance renal dialysis unit"
"Fairfield Hospital","NSW","Obstetric services"
"Fairfield Hospital","NSW","Paediatric service"
"Fairfield Hospital","NSW","Rehabilitation unit"
"Finley Hospital","NSW","Domiciliary care unit"
"Finley Hospital","NSW","Emergency department"
"Finley Hospital","NSW","Geriatric assessment unit"
"Gilgandra Multi Purpose Service","NSW","Emergency department"
"Gilgandra Multi Purpose Service","NSW","Maintenance renal dialysis unit"
"Gilgandra Multi Purpose Service","NSW","Nursing home care unit"
"Glen Innes Hospital","NSW","Alcohol and drug unit"
"Glen Innes Hospital","NSW","Domiciliary care unit"
"Glen Innes Hospital","NSW","Emergency department"
"Glen Innes Hospital","NSW","Geriatric assessment unit"
"Glen Innes Hospital","NSW","Obstetric services"
"Gloucester Hospital","NSW","Domiciliary care unit"
"Gloucester Hospital","NSW","Emergency department"
"Gloucester Hospital","NSW","Geriatric assessment unit"
"Gloucester Hospital","NSW","Nursing home care unit"
"Gloucester Hospital","NSW","Obstetric services"
"Gosford Hospital","NSW","Acute renal dialysis unit"
"Gosford Hospital","NSW","Clinical genetics unit"
"Gosford Hospital","NSW","Coronary care unit"
"Gosford Hospital","NSW","Diabetes unit"
"Gosford Hospital","NSW","Emergency department"
"Gosford Hospital","NSW","Epilepsy centre"
"Gosford Hospital","NSW","Geriatric assessment unit"
"Gosford Hospital","NSW","Infectious diseases unit"
"Gosford Hospital","NSW","Intensive care unit"
"Gosford Hospital","NSW","Maintenance renal dialysis unit"
"Gosford Hospital","NSW","Major plastic or reconstructive surgery unit"
"Gosford Hospital","NSW","Obstetric services"
"Gosford Hospital","NSW","Oncology unit"
"Gosford Hospital","NSW","Paediatric service"
"Gosford Hospital","NSW","Psychiatric unit"
"Gosford Hospital","NSW","Sleep centre"
"Goulburn Hospital","NSW","Alcohol and drug unit"
"Goulburn Hospital","NSW","Coronary care unit"
"Goulburn Hospital","NSW","Domiciliary care unit"
"Goulburn Hospital","NSW","Emergency department"
"Goulburn Hospital","NSW","Geriatric assessment unit"
"Goulburn Hospital","NSW","Intensive care unit"
"Goulburn Hospital","NSW","Maintenance renal dialysis unit"
"Goulburn Hospital","NSW","Obstetric services"
"Goulburn Hospital","NSW","Paediatric service"
"Goulburn Hospital","NSW","Psychiatric unit"
"Goulburn Hospital","NSW","Rehabilitation unit"
"Grafton Base Hospital","NSW","Alcohol and drug unit"
"Grafton Base Hospital","NSW","Emergency department"
"Grafton Base Hospital","NSW","Intensive care unit"
"Grafton Base Hospital","NSW","Maintenance renal dialysis unit"
"Grafton Base Hospital","NSW","Obstetric services"
"Grafton Base Hospital","NSW","Oncology unit"
"Grafton Base Hospital","NSW","Paediatric service"
"Greenwich Hospital","NSW","Geriatric assessment unit"
"Greenwich Hospital","NSW","Hospice care unit"
"Greenwich Hospital","NSW","Psychiatric unit"
"Greenwich Hospital","NSW","Rehabilitation unit"
"Grenfell Multi Purpose Service","NSW","Emergency department"
"Grenfell Multi Purpose Service","NSW","Nursing home care unit"
"Griffith Hospital","NSW","Alcohol and drug unit"
"Griffith Hospital","NSW","Coronary care unit"
"Griffith Hospital","NSW","Domiciliary care unit"
"Griffith Hospital","NSW","Emergency department"
"Griffith Hospital","NSW","Geriatric assessment unit"
"Griffith Hospital","NSW","Intensive care unit"
"Griffith Hospital","NSW","Maintenance renal dialysis unit"
"Griffith Hospital","NSW","Obstetric services"
"Griffith Hospital","NSW","Paediatric service"
"Griffith Hospital","NSW","Rehabilitation unit"
"Gulargambone Multi Purpose Service","NSW","Nursing home care unit"
"Gulgong Multi Purpose Service","NSW","Emergency department"
"Gulgong Multi Purpose Service","NSW","Nursing home care unit"
"Gundagai Hospital","NSW","Domiciliary care unit"
"Gundagai Hospital","NSW","Emergency department"
"Gundagai Hospital","NSW","Geriatric assessment unit"
"Gundagai Hospital","NSW","Nursing home care unit"
"Gunnedah Hospital","NSW","Domiciliary care unit"
"Gunnedah Hospital","NSW","Emergency department"
"Gunnedah Hospital","NSW","Hospice care unit"
"Gunnedah Hospital","NSW","Obstetric services"
"Guyra Multi Purpose Service","NSW","Domiciliary care unit"
"Guyra Multi Purpose Service","NSW","Emergency department"
"Guyra Multi Purpose Service","NSW","Geriatric assessment unit"
"Guyra Multi Purpose Service","NSW","Nursing home care unit"
"Hawkesbury Hospital","NSW","Coronary care unit"
"Hawkesbury Hospital","NSW","Domiciliary care unit"
"Hawkesbury Hospital","NSW","Emergency department"
"Hawkesbury Hospital","NSW","Geriatric assessment unit"
"Hawkesbury Hospital","NSW","Obstetric services"
"Hawkesbury Hospital","NSW","Paediatric service"
"Hay Hospital","NSW","Domiciliary care unit"
"Hay Hospital","NSW","Emergency department"
"Hay Hospital","NSW","Nursing home care unit"
"Henty Multi Purpose Service","NSW","Domiciliary care unit"
"Henty Multi Purpose Service","NSW","Emergency department"
"Henty Multi Purpose Service","NSW","Nursing home care unit"
"Hillston Hospital","NSW","Domiciliary care unit"
"Hillston Hospital","NSW","Emergency department"
"Hillston Hospital","NSW","Nursing home care unit"
"Holbrook Hospital","NSW","Domiciliary care unit"
"Holbrook Hospital","NSW","Emergency department"
"Holbrook Hospital","NSW","Geriatric assessment unit"
"Holbrook Hospital","NSW","Nursing home care unit"
"Hornsby Ku-ring-gai Hospital","NSW","Coronary care unit"
"Hornsby Ku-ring-gai Hospital","NSW","Domiciliary care unit"
"Hornsby Ku-ring-gai Hospital","NSW","Emergency department"
"Hornsby Ku-ring-gai Hospital","NSW","Geriatric assessment unit"
"Hornsby Ku-ring-gai Hospital","NSW","Intensive care unit"
"Hornsby Ku-ring-gai Hospital","NSW","Obstetric services"
"Hornsby Ku-ring-gai Hospital","NSW","Paediatric service"
"Hornsby Ku-ring-gai Hospital","NSW","Psychiatric unit"
"Hornsby Ku-ring-gai Hospital","NSW","Rehabilitation unit"
"Hunter New England Mater Mental Health Service","NSW","Alcohol and drug unit"
"Hunter New England Mater Mental Health Service","NSW","Psychiatric unit"
"Inverell Hospital","NSW","Alcohol and drug unit"
"Inverell Hospital","NSW","Domiciliary care unit"
"Inverell Hospital","NSW","Emergency department"
"Inverell Hospital","NSW","Geriatric assessment unit"
"Inverell Hospital","NSW","Maintenance renal dialysis unit"
"Inverell Hospital","NSW","Obstetric services"
"Ivanhoe Hospital","NSW","Emergency department"
"Jerilderie Multi Purpose Service","NSW","Domiciliary care unit"
"Jerilderie Multi Purpose Service","NSW","Emergency department"
"Jerilderie Multi Purpose Service","NSW","Nursing home care unit"
"John Hunter Hospital","NSW","Acute renal dialysis unit"
"John Hunter Hospital","NSW","AIDS unit"
"John Hunter Hospital","NSW","Alcohol and drug unit"
"John Hunter Hospital","NSW","Bone marrow transplantation unit"
"John Hunter Hospital","NSW","Cardiac surgery unit"
"John Hunter Hospital","NSW","Coronary care unit"
"John Hunter Hospital","NSW","Diabetes unit"
"John Hunter Hospital","NSW","Domiciliary care unit"
"John Hunter Hospital","NSW","Emergency department"
"John Hunter Hospital","NSW","Geriatric assessment unit"
"John Hunter Hospital","NSW","Infectious diseases unit"
"John Hunter Hospital","NSW","Intensive care unit"
"John Hunter Hospital","NSW","Maintenance renal dialysis unit"
"John Hunter Hospital","NSW","Neonatal intensive care unit"
"John Hunter Hospital","NSW","Neurosurgical unit"
"John Hunter Hospital","NSW","Obstetric services"
"John Hunter Hospital","NSW","Oncology unit"
"John Hunter Hospital","NSW","Paediatric service"
"John Hunter Hospital","NSW","Psychiatric unit"
"John Hunter Hospital","NSW","Rehabilitation unit"
"John Hunter Hospital","NSW","Renal transplantation unit"
"John Hunter Hospital","NSW","Sleep centre"
"Junee Multi Purpose Service","NSW","Domiciliary care unit"
"Junee Multi Purpose Service","NSW","Emergency department"
"Junee Multi Purpose Service","NSW","Nursing home care unit"
"Justice Health Services","NSW","Psychiatric unit"
"Karitane Mothercraft Society","NSW","Domiciliary care unit"
"Karitane Mothercraft Society","NSW","Paediatric service"
"Kempsey Hospital","NSW","Acute renal dialysis unit"
"Kempsey Hospital","NSW","Alcohol and drug unit"
"Kempsey Hospital","NSW","Domiciliary care unit"
"Kempsey Hospital","NSW","Emergency department"
"Kempsey Hospital","NSW","Infectious diseases unit"
"Kempsey Hospital","NSW","Maintenance renal dialysis unit"
"Kempsey Hospital","NSW","Obstetric services"
"Kempsey Hospital","NSW","Psychiatric unit"
"Kempsey Hospital","NSW","Rehabilitation unit"
"Kenmore Hospital","NSW","Alcohol and drug unit"
"Kenmore Hospital","NSW","Psychiatric unit"
"Kiama Hospital","NSW","Alcohol and drug unit"
"Kiama Hospital","NSW","Domiciliary care unit"
"Kiama Hospital","NSW","Geriatric assessment unit"
"Kurri Kurri Hospital","NSW","Domiciliary care unit"
"Kurri Kurri Hospital","NSW","Emergency department"
"Kurri Kurri Hospital","NSW","Geriatric assessment unit"
"Kurri Kurri Hospital","NSW","Rehabilitation unit"
"Kyogle Multi Purpose Service","NSW","Emergency department"
"Kyogle Multi Purpose Service","NSW","Geriatric assessment unit"
"Kyogle Multi Purpose Service","NSW","Nursing home care unit"
"Lachlan Health Service - Forbes","NSW","Emergency department"
"Lachlan Health Service - Forbes","NSW","Maintenance renal dialysis unit"
"Lachlan Health Service - Forbes","NSW","Obstetric services"
"Lachlan Health Service - Forbes","NSW","Oncology unit"
"Lachlan Health Service - Parkes","NSW","Emergency department"
"Lachlan Health Service - Parkes","NSW","Obstetric services"
"Lachlan Health Service - Parkes","NSW","Oncology unit"
"Lake Cargelligo Multi Purpose Service","NSW","Domiciliary care unit"
"Lake Cargelligo Multi Purpose Service","NSW","Emergency department"
"Lake Cargelligo Multi Purpose Service","NSW","Nursing home care unit"
"Leeton Hospital","NSW","Domiciliary care unit"
"Leeton Hospital","NSW","Emergency department"
"Leeton Hospital","NSW","Geriatric assessment unit"
"Leeton Hospital","NSW","Nursing home care unit"
"Leeton Hospital","NSW","Obstetric services"
"Lightning Ridge Multi Purpose Service","NSW","Emergency department"
"Lightning Ridge Multi Purpose Service","NSW","Nursing home care unit"
"Lismore Hospital","NSW","Acute renal dialysis unit"
"Lismore Hospital","NSW","Alcohol and drug unit"
"Lismore Hospital","NSW","Cardiac surgery unit"
"Lismore Hospital","NSW","Coronary care unit"
"Lismore Hospital","NSW","Emergency department"
"Lismore Hospital","NSW","Geriatric assessment unit"
