"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Baradine Multi Purpose Service","02 6843 4100","5-9 Macquarie Street","Baradine","2396","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-30.945315999999998","149.06618900000001"
"Baralaba Hospital","07 4998 2800","Stopford Street","Baralaba","4702","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/baralaba.asp","Regional hospital","Public","<50","-24.184267999999999","149.809586"
"Barcaldine Hospital","07 4650 4000","Oak Street","Barcaldine","4725","Qld","Central West (Qld)","Western Queensland","www.health.qld.gov.au/services/centralwest/cwest_barc_hosp.asp","Regional hospital","Public","<50","-23.553315999999999","145.29367400000001"
"Barham Hospital","03 5451 1000","70 Punt Road","Barham","2732","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.623823000000002","144.13347899999999"
"Baringa Private Hospital","02 6659 4444","31 Mackays Road","Coffs Harbour","2450","NSW","","","www.baringaprivate.com.au","","Private","50-99","-30.278813","153.10289299999999"
"Barmera Health Service","08 8588 0400","Hawdon Street","Barmera","5345","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/barmerahospital","Regional hospital","Public","<50","-34.249146000000003","140.47170600000001"
"Barraba Multi Purpose Service","02 6782 2500","Edward Street","Barraba","2347","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-30.382482","150.60577799999999"
"Bass Coast Health","03 5671 3333","235 Graham Street","Wonthaggi","3995","Vic","Bass Coast Regional Health","Gippsland","www.bcrh.com.au","Small hospital with an emergency department","Public","50-99","-38.608747000000001","145.580906"
"Batemans Bay Hospital","02 4475 1500","7 Pacific Street","Batemans Bay","2536","NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","<50","-35.714055000000002","150.18237500000001"
"Bathurst Health Service","02 6330 5311","361-365 Howick Street","Bathurst","2795","NSW","Western NSW","Western NSW","","Large regional hospital with an emergency department","Public","100-199","-33.406511999999999","149.572699"
"Bathurst Private Hospital","02 6331 7766","Gorman's Hill Road","Bathurst","2795","NSW","","","www.bathurstprivate.com.au","","Private","<50","-33.435214999999999","149.58924200000001"
"Batlow/Adelong Multi Purpose Service","02 6941 4333","61-81 Pioneer Street","Batlow","2730","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.521951000000001","148.14789099999999"
"Beaconsfield District Health Service","03 6702 6060","13 Bolton Street","Beaconsfield","7270","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/beaconsfield_district_health_service","Regional hospital","Public","<50","-41.193477999999999","146.80671899999999"
"Beaudesert Hospital","07 5541 9111","64 Tina Street","Beaudesert","4285","Qld","Metro South (Qld)","Brisbane South","www.health.qld.gov.au/services/metrosouth/beau-hosp.asp","Regional hospital","Public","<50","-27.984869","153.00253599999999"
"Beaufort & Skipton Health Service [Beaufort]","03 5349 1600","28 Havelock Street","Beaufort","3373","Vic","Beaufort and Skipton Health Service","Western Victoria","www.bashs.org.au/services","Regional hospital","Public","<50","-37.431027999999998","143.382284"
"Beaufort & Skipton Health Service [Skipton]","03 5340 1100","Blake Street","Skipton","3361","Vic","Beaufort and Skipton Health Service","Western Victoria","www.bashs.org.au/services","Regional hospital","Public","<50","-37.683998000000003","143.367547"
"Beechworth Health Service","03 5728 0200","52 Sydney Road","Beechworth","3747","Vic","Beechworth Health Service","Murray","www.beechworthhealthservice.com.au","Regional hospital","Public","<50","-36.349359","146.69073900000001"
"Bega Valley Private Hospital","02 6492 4144","31 Parker Street","Bega","2550","NSW","","","www.pulsehealth.net.au","","Private","<50","-36.673617","149.845812"
"Beleura Private Hospital","03 5976 0888","925 Nepean Highway","Mornington","3931","Vic","","","www.beleuraprivate.com.au","","Private","100-199","-38.225484000000002","145.049136"
"Bellbird Private Hospital","03 9845 2333","198 Canterbury Road","Blackburn South","3130","Vic","","","www.bellbirdprivatehospital.com.au","","Private","<50","-37.833072999999999","145.15601799999999"
"Bellinger River District Hospital","02 6659 5800","43 Church Street","Bellingen","2454","NSW","Mid North Coast","North Coast","","Small hospital with an emergency department","Public","<50","-30.457256000000001","152.89320900000001"
"Belmont Hospital","02 4923 2000","16 Croudace Bay Road","Belmont","2280","NSW","Hunter New England","Hunter New England and Central Coast","","Medium metropolitan hospital with an emergency department","Public","100-199","-33.024630999999999","151.64818099999999"
"Benalla & District Memorial Hospital","03 5760 2222","45-53 Coster Street","Benalla","3672","Vic","Benalla and District Memorial Hospital","Murray","www.benallahospital.com.au","Small hospital","Public","50-99","-36.555239","145.994675"
"Bendigo Health Care Group [Anne Caudle]","03 5454 6000","100 Barnard Street","Bendigo","3550","Vic","Bendigo Health Care Group","Murray","www.bendigohealth.com.au","Regional hospital","Public","<50","-36.750919000000003","144.28039899999999"
"Bentley Hospital","08 9416 3666","18-56 Mills Street","Bentley","6102","WA","East Metropolitan Health Service (WA)","Perth South","www.health.wa.gov.au/services/detail.cfm?Unit_ID=16","Metropolitan hospital","Public","100-199","-32.005332000000003","115.927922"
"Berkeley Vale Private Hospital","02 4389 9100","Lorraine Avenue","Berkeley Vale","2261","NSW","","","www.berkeleyvaleprivate.com.au","","Private","50-99","-33.337060999999999","151.432784"
"Berrigan Multi Purpose Service","03 5888 5300","137-143 Memorial Place","Berrigan","2712","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-35.662312","145.81303500000001"
"Berwick Eye and Surgicentre","03 9768 9210","22 Langmore Lane","Berwick","3806","Vic","","","www.berwickeye.com.au","","Private","<50","-38.033667000000001","145.346487"
"Bethesda Hospital","08 9340 6300","25 Queenslea Drive","Claremont","6010","WA","","","www.bethesda.asn.au","","Private","50-99","-31.986967","115.77848400000001"
"Beverley Hospital","08 9646 3200","Sewell Street","Beverley","6304","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=18","Regional hospital","Public","<50","-32.102825000000003","116.922962"
"Biggenden Hospital","07 4127 6400","Alice Street","Biggenden","4621","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-biggenden.asp","Regional hospital","Public","<50","-25.506405999999998","152.05109899999999"
"Biloela Hospital","07 4992 7000","2 Hospital Road","Biloela","4715","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/biloela.asp","Small hospital","Public","<50","-24.395813","150.51749100000001"
"Bingara Multi Purpose Service","02 6728 0100","Keera Street","Bingara","2404","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-29.864055","150.57923500000001"
"Blackall Hospital","07 4650 7700","Shamrock Street","Blackall","4472","Qld","Central West (Qld)","Western Queensland","www.health.qld.gov.au/services/centralwest/cwest_blackall_hosp.asp","Regional hospital","Public","<50","-24.422705000000001","145.44934900000001"
"Blacktown Hospital","02 9881 8000","Blacktown Road","Blacktown","2148","NSW","Western Sydney","Western Sydney","http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital","Large metropolitan hospital with an emergency department","Public","200-500","-33.775551999999998","150.91753700000001"
"Blackwater Hospital","07 4980 1800","Mackenzie Street","Blackwater","4717","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/blackwater.asp","Regional hospital","Public","<50","-23.571873","148.878219"
"Blayney Multi Purpose Service","02 6368 9000","3 Osman Street","Blayney","2799","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-33.537728000000001","149.248988"
"Blue Mountains Hospital","02 4784 6500","Lot 3 Woodlands Road","Katoomba","2780","NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Blue-Mountains-Hospital","Small hospital with an emergency department","Public","50-99","-33.705328999999999","150.32111"
"Boddington Hospital","08 9883 4444","46-53 Hotham Avenue","Boddington","6390","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=19","Regional hospital","Public","<50","-32.803714999999997","116.475774"
"Boggabri Multi Purpose Service","02 6749 7000","3 Wee Waa Street","Boggabri","2382","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-30.711501999999999","150.04001400000001"
"Bombala Multi Purpose Service","02 6458 5777","126-128 Wellington Street","Bombala","2632","NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50","-36.917513","149.23537200000001"
"Bonalbo Hospital","02 6665 1203","Clarence Way","Bonalbo","2469","NSW","Northern NSW","North Coast","","Regional hospital","Public","<50","-28.733777","152.62278900000001"
"Booleroo Centre District Hospital and Health Services","08 8667 2211","Stephens Street","Booleroo Centre","5482","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/booleroohospital","Regional hospital","Public","<50","-32.877910999999997","138.35095799999999"
"Boonah Hospital","07 5463 3300","11-17 Leonard Street","Boonah","4310","Qld","West Moreton","Darling Downs and West Moreton","www.health.qld.gov.au/services/westmoreton/boonah-hs.asp","Regional hospital","Public","<50","-27.999127999999999","152.678943"
"Boorowa Multi Purpose Service","02 6385 3004","62-80 Dry Street","Boorowa","2586","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-34.442822","148.72707299999999"
"Boort District Health","03 5451 5200","31 Kiniry Street","Boort","3537","Vic","Boort District Health","Murray","www.bdh.vic.gov.au","Regional hospital","Public","<50","-36.111702999999999","143.72728499999999"
"Bordertown Memorial Hospital","08 8752 9000","23 South Terrace","Bordertown","5268","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/bordertownhospital","Small hospital","Public","<50","-36.312133000000003","140.76643799999999"
"Bourke Multi Purpose Service","02 6870 8888","26 Tarcoon Street","Bourke","2840","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-30.092822999999999","145.94798299999999"
"Bourke Street Health Service","02 4823 7800","234 Bourke Street","Goulburn","2580","NSW","Southern NSW","South Eastern NSW","","Regional hospital","Public","<50","-34.748721000000003","149.71932100000001"
"Bowen Hospital","07 4786 8222","Gregory Street","Bowen","4805","Qld","Mackay","Northern Queensland","www.health.qld.gov.au/services/mackay/bowen_hosp.asp","Small hospital","Public","<50","-20.007104000000002","148.24032700000001"
"Bowral Hospital","02 4861 0200","Lot 3 Mona Road","Bowral","2576","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/bowral/","Medium regional hospital with an emergency department","Public","50-99","-34.485042999999997","150.42379600000001"
"Box Hill Hospital","1300 342 255","8 Arnold Street","Box Hill","3128","Vic","Eastern Health (Vic)","Eastern Melbourne","https://www.easternhealth.org.au/locations/box-hill-hospital","Large metropolitan hospital with an emergency department","Public",">500","-37.813682","145.11909399999999"
"Boyup Brook Soldiers Memorial Hospital","08 9765 0222","Hospital Road","Boyup Brook","6244","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=20","Regional hospital","Public","<50","-33.839230999999998","116.39063899999999"
"Braeside Hospital","02 9616 8600","340 Prairie Vale Road","Prairiewood","2176","NSW","South Western Sydney","South Western Sydney","","Metropolitan hospital","Public","50-99","-33.861916999999998","150.90219200000001"
"Braidwood Multi Purpose Service","02 4842 2566","77 Monkittee Street","Braidwood","2622","NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50","-35.443216","149.80530200000001"
"Brewarrina Multi Purpose Service","02 6830 5000","56 Doyle Street","Brewarrina","2839","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-29.961627","146.86379600000001"
"Bridgetown Hospital","08 9782 1222","16-18 Peninsula Road","Bridgetown","6255","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=22","Small hospital","Public","<50","-33.951681000000001","116.132183"
"Brindabella Endoscopy and Day Surgery Centre","02 6282 7788","Suite 7, 5 Dann Close","Garran","2605","ACT","","","http://www.curagroup.com.au/brindabella-endoscopy-centre","","Private","<50","-35.349499999999999","149.10310000000001"
"Brisbane Endoscopy Services","07 3344 1844","Suites 16-18/259 McCullough Street","Sunnybank","4109","Qld","","","www.gastros.com.au","","Private","<50","-27.572417999999999","153.06198499999999"
"Brisbane Private Hospital","07 3834 6111","259 Wickham Terrace","Brisbane","4000","Qld","","","www.brisbaneprivatehospital.com.au","","Private","100-199","-27.464756000000001","153.02264199999999"
"Brisbane Waters Private Hospital","02 4341 9522","21 Vidler Avenue","Woy Woy","2256","NSW","","","www.brisbanewatersprivatehospital.com.au","","Private","50-99","-33.495232999999999","151.321708"
"Broadmeadows Health Service","03 8345 5000","35 Johnstone Street","Broadmeadows","3047","Vic","Northern Health (Vic)","North Western Melbourne","","Small hospital","Public","100-199","-37.684320999999997","144.913106"
"Broken Hill Hospital","08 8080 1300","176 Thomas Street","Broken Hill","2880","NSW","Far West","Western NSW","","Medium regional hospital with an emergency department","Public","100-199","-31.947609","141.45470299999999"
"Broome Hospital","08 9194 2222","Robinson Street","Broome","6725","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=24","Small hospital with an emergency department","Public","50-99","-17.960975000000001","122.236289"
"Bruce Rock Memorial Hospital","08 9061 1311","35 Dunstall Street","Bruce Rock","6418","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=25","Regional hospital","Public","<50","-31.873038000000001","118.14641399999999"
"Buderim Gastroenterology Centre","07 5475 4464","Suite 5, 102 Wises Road","Maroochydore","4558","Qld","","","http://www.buderimgastro.com.au/","","Private","<50","-26.671731000000001","153.08494400000001"
"Buderim Private Hospital","07 5430 3303","12 Elsa Wilson Drive","Buderim","4556","Qld","","","www.buderimprivatehospital.com.au","","Private","100-199","-26.683987999999999","153.092895"
"Bulahdelah Hospital","02 4987 9900","Richmond Street","Bulahdelah","2423","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital","Public","<50","-32.403948999999997","152.21002899999999"
"Bulli Hospital","02 4284 4344","Hospital Road","Bulli","2516","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Bulli_Hospital/default.asp","Small hospital","Public","50-99","-34.336666999999998","150.90734399999999"
"Bunbury Hospital","08 9722 1000","Corner of Robertson Drive and Bussell Highway","Bunbury","6230","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=29","Medium regional hospital with an emergency department","Public","100-199","-33.366985999999997","115.648183"
"Bundaberg Base Hospital","07 4150 2222","Bourbong Street","Bundaberg","4670","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-bundaberg.asp","Large regional hospital with an emergency department","Public","200-500","-24.868877000000001","152.33615699999999"
"Bundoora Extended Care Centre","03 9495 3100","1231 Plenty Road","Bundoora","3083","Vic","Northern Health (Vic)","North Western Melbourne","","Specialist rehabilitation hospital","Public","50-99","-37.701124","145.05556899999999"
"Burnside War Memorial Hospital","08 8202 7222","120 Kensington Road","Toorak Gardens","5065","SA","","","www.burnsidehospital.asn.au","","Private","50-99","-34.927126000000001","138.63887800000001"
"Burra Hospital","08 8892 2300","46 Commercial Street","Burra","5417","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/burrahospital","Regional hospital","Public","<50","-33.685485999999997","138.93457699999999"
"Busselton Health Campus","08 9753 6000","Mill Road","Busselton","6280","WA","WA Country Health Service","Country WA","www.wacountry.health.wa.gov.au/bhc","Small hospital with an emergency department","Public","50-99","-33.654350999999998","115.319581"
"Byron Central Hospital","02 6639 9400","54 Ewingsdale Road","Ewingsdale","2481","NSW","Northern NSW","North Coast","http://nnswlhd.health.nsw.gov.au/about/hospitals/byron-central-hospital/","Small hospital with an emergency department","Public","<50","-28.637365299999999","153.5558978"
"Caboolture Hospital","07 5433 8888","McKean Street","Caboolture","4510","Qld","Metro North (Qld)","Brisbane North","www.health.qld.gov.au/services/metronorth/metronorth_cabool_hosp.asp","Medium metropolitan hospital with an emergency department","Public","200-500","-27.080776","152.96362300000001"
"Caboolture Private Hospital","07 5495 9400","McKean Street","Caboolture","4510","Qld","","","www.cabooltureprivate.com.au","","Private","<50","-27.080317999999998","152.963628"
"Cabrini Brighton","03 9508 8777","243 New Street","Brighton","3186","Vic","","","www.cabrini.com.au","","Private","100-199","-37.911650000000002","144.99157199999999"
"Cabrini Health Elsternwick Rehabilitation - Glenhuntly Rd","03 9508 5200","494 Glenhuntly Road","Elsternwick","3185","Vic","","","www.cabrini.com.au","","Private","<50","-37.885429999999999","145.00932800000001"
"Cabrini Health Elsternwick Rehabilitation - Hopetoun","03 9508 5100","2-6 Hopetoun Street","Elsternwick","3185","Vic","","","www.cabrini.com.au","","Private","<50","-37.884777999999997","145.01039"
"Cabrini Malvern","03 9508 1222","183 Wattletree Road","Malvern","3144","Vic","","","www.cabrini.com.au","","Private",">500","-37.861640999999999","145.0335"
"Cabrini Prahran","03 95081000","646 High Street","Prahran","3181","Vic","","","www.cabrini.com.au","","Private","<50","-37.854033999999999","145.009017"
"Cairns Day Surgery","07 4051 5454","156-160 Grafton Street","Cairns","4870","Qld","","","","","Private","","-16.918973000000001","145.77195499999999"
"Cairns Hospital","07 4226 0000","The Esplanade","Cairns","4870","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_cairns_hosp.asp","Large regional hospital with an emergency department","Public",">500","-16.912537","145.76852199999999"
"Cairns Private Hospital","07 4052 5200","1 Upward Street","Cairns","4870","Qld","","","www.cairnsph.com.au","","Private","100-199","-16.918854","145.77228199999999"
"Caloundra Hospital","07 5436 8500","West Terrace","Caloundra","4551","Qld","Sunshine Coast","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/sunshinecoast/caloundra.asp","Medium-sized metropolitan hospital","Public","<50","-26.800581999999999","153.11975899999999"
"Caloundra Private Clinic","07 5491 1522","96 Beerburrum Street","Caloundra","4551","Qld","","","www.caloundraprivateclinic.com.au/","","Private","50-99","-26.782378999999999","153.12553399999999"
"Calvary Central Districts Hospital","08 8250 4111","25-37 Jarvis Road","Elizabeth Vale","5112","SA","","","www.calvarycentraldistricts.org.au","","Private","50-99","-34.755420000000001","138.65622099999999"
