"Hospital","State","Peer group","Time period","Type of case","Proxy reporting","Cases","Patient days under surveillance","Rate per 10,000 patient days","","Peer group average"
"Auburn Hospital","NSW","Medium hospitals","2011–12","Total","","1","41782","0.24","","0.50"
"Auburn Hospital","NSW","Medium hospitals","2012–13","Total","","0","40310","0","","0.63"
"Auburn Hospital","NSW","Medium hospitals","2013–14","Total","","1","43142","0.23","","0.47"
"Auburn Hospital","NSW","Medium hospitals","2014–15","Total","","0","43996","0","","0.42"
"Auburn Hospital","NSW","Medium hospitals","2015–16","Total","","0","43386","0","","0.51"
"Auburn Hospital","NSW","Medium hospitals","2016–17","Total","","2","41984","0.48","","0.49"
"Auburn Hospital","NSW","Medium hospitals","2017–18","Total","","0","40786","0","","0.55"
"Auburn Hospital","NSW","Medium hospitals","2016–17","MRSA","","0","41984","0","","0.08"
"Auburn Hospital","NSW","Medium hospitals","2017–18","MRSA","","0","40786","0","","0.11"
"Auburn Hospital","NSW","Medium hospitals","2016–17","MSSA","","2","41984","0.48","","0.42"
"Auburn Hospital","NSW","Medium hospitals","2017–18","MSSA","","0","40786","0","","0.44"
"Ballina Hospital","NSW","Unpeered","2010–11","Total","","2","24539","0.82","","Not peered"
"Ballina Hospital","NSW","Unpeered","2011–12","Total","","2","26902","0.74","","Not peered"
"Ballina Hospital","NSW","Unpeered","2012–13","Total","","3","26758","1.12","","Not peered"
"Ballina Hospital","NSW","Unpeered","2013–14","Total","","1","27302","0.37","","Not peered"
"Ballina Hospital","NSW","Unpeered","2014–15","Total","","0","26932","0","","Not peered"
"Ballina Hospital","NSW","Unpeered","2015–16","Total","","1","29470","0.34","","Not peered"
"Ballina Hospital","NSW","Unpeered","2016–17","Total","","0","29980","0","","Not peered"
"Ballina Hospital","NSW","Unpeered","2017–18","Total","","1","29818","0.34","","Not peered"
"Ballina Hospital","NSW","Unpeered","2016–17","MRSA","","0","29980","0","","Not peered"
"Ballina Hospital","NSW","Unpeered","2017–18","MRSA","","0","29818","0","","Not peered"
"Ballina Hospital","NSW","Unpeered","2016–17","MSSA","","0","29980","0","","Not peered"
"Ballina Hospital","NSW","Unpeered","2017–18","MSSA","","1","29818","0.34","","Not peered"
"Balmain Hospital","NSW","Unpeered","2010–11","Total","","1","25186","0.40","","Not peered"
"Balmain Hospital","NSW","Unpeered","2011–12","Total","","3","24367","1.23","","Not peered"
"Balmain Hospital","NSW","Unpeered","2012–13","Total","","1","25475","0.39","","Not peered"
"Balmain Hospital","NSW","Unpeered","2013–14","Total","","0","25405","0","","Not peered"
"Balmain Hospital","NSW","Unpeered","2014–15","Total","","3","25969","1.16","","Not peered"
"Balmain Hospital","NSW","Unpeered","2015–16","Total","","3","26069","1.15","","Not peered"
"Balmain Hospital","NSW","Unpeered","2016–17","Total","","1","24543","0.41","","Not peered"
"Balmain Hospital","NSW","Unpeered","2017–18","Total","","0","24598","0","","Not peered"
"Balmain Hospital","NSW","Unpeered","2016–17","MRSA","","1","24543","0.41","","Not peered"
"Balmain Hospital","NSW","Unpeered","2017–18","MRSA","","0","24598","0","","Not peered"
"Balmain Hospital","NSW","Unpeered","2016–17","MSSA","","0","24543","0","","Not peered"
"Balmain Hospital","NSW","Unpeered","2017–18","MSSA","","0","24598","0","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","5992","0","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","5992","0","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Balranald Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","5992","0","","Not peered"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2010–11","Total","","13","145298","0.89","","1"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2011–12","Total","","7","154840","0.45","","0.93"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2012–13","Total","","13","153339","0.85","","0.97"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2013–14","Total","","14","155322","0.90","","0.85"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2014–15","Total","","12","160320","0.75","","0.80"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2015–16","Total","","7","161696","0.43","","0.68"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2016–17","Total","","7","163640","0.43","","0.73"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2017–18","Total","","12","163589","0.73","","0.67"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2016–17","MRSA","","3","163640","0.18","","0.14"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2017–18","MRSA","","4","163589","0.24","","0.10"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2016–17","MSSA","","4","163640","0.24","","0.60"
"Bankstown Lidcombe Hospital","NSW","Large hospitals","2017–18","MSSA","","8","163589","0.49","","0.56"
"Baradine Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","5248","0","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","5248","0","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Baradine Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","5248","0","","Not peered"
"Barham Hospital","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Barham Hospital","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","7062","0","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","7062","0","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Barraba Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","7062","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2010–11","Total","","1","12867","0.78","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2011–12","Total","","1","12573","0.80","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2012–13","Total","","0","11693","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2013–14","Total","","0","12208","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2014–15","Total","","1","12211","0.82","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2015–16","Total","","0","11363","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2016–17","Total","","0","12239","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2017–18","Total","","0","11150","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2016–17","MRSA","","0","12239","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2017–18","MRSA","","0","11150","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2016–17","MSSA","","0","12239","0","","Not peered"
"Batemans Bay Hospital","NSW","Unpeered","2017–18","MSSA","","0","11150","0","","Not peered"
"Bathurst Health Service","NSW","Large hospitals","2010–11","Total","","0","36722","0","","1"
"Bathurst Health Service","NSW","Large hospitals","2011–12","Total","","2","38389","0.52","","0.93"
"Bathurst Health Service","NSW","Large hospitals","2012–13","Total","","5","37325","1.34","","0.97"
"Bathurst Health Service","NSW","Large hospitals","2013–14","Total","","3","35137","0.85","","0.85"
"Bathurst Health Service","NSW","Large hospitals","2014–15","Total","","0","35005","0","","0.80"
"Bathurst Health Service","NSW","Large hospitals","2015–16","Total","","0","37478","0","","0.68"
"Bathurst Health Service","NSW","Large hospitals","2016–17","Total","","0","40513","0","","0.73"
"Bathurst Health Service","NSW","Large hospitals","2017–18","Total","","0","41699","0","","0.67"
"Bathurst Health Service","NSW","Large hospitals","2016–17","MRSA","","0","40513","0","","0.14"
"Bathurst Health Service","NSW","Large hospitals","2017–18","MRSA","","0","41699","0","","0.10"
"Bathurst Health Service","NSW","Large hospitals","2016–17","MSSA","","0","40513","0","","0.60"
"Bathurst Health Service","NSW","Large hospitals","2017–18","MSSA","","0","41699","0","","0.56"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","7813","0","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","7813","0","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Batlow/Adelong Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","7813","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2010–11","Total","","1","13708","0.73","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2011–12","Total","","1","14366","0.70","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2012–13","Total","","0","14548","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2013–14","Total","","0","15010","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2014–15","Total","","0","18140","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2015–16","Total","","0","17565","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2016–17","Total","","0","20779","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2017–18","Total","","0","22597","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2016–17","MRSA","","0","20779","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2017–18","MRSA","","0","22597","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2016–17","MSSA","","0","20779","0","","Not peered"
"Bellinger River District Hospital","NSW","Unpeered","2017–18","MSSA","","0","22597","0","","Not peered"
"Belmont Hospital","NSW","Medium hospitals","2010–11","Total","","7","26817","2.61","","0.68"
"Belmont Hospital","NSW","Medium hospitals","2011–12","Total","","4","28001","1.43","","0.50"
"Belmont Hospital","NSW","Medium hospitals","2012–13","Total","","6","31194","1.92","","0.63"
"Belmont Hospital","NSW","Medium hospitals","2013–14","Total","","3","32337","0.93","","0.47"
"Belmont Hospital","NSW","Medium hospitals","2014–15","Total","","2","33425","0.60","","0.42"
"Belmont Hospital","NSW","Medium hospitals","2015–16","Total","","3","38509","0.78","","0.51"
"Belmont Hospital","NSW","Medium hospitals","2016–17","Total","","5","40584","1.23","","0.49"
"Belmont Hospital","NSW","Medium hospitals","2017–18","Total","","5","38959","1.28","","0.55"
"Belmont Hospital","NSW","Medium hospitals","2016–17","MRSA","","2","40584","0.49","","0.08"
"Belmont Hospital","NSW","Medium hospitals","2017–18","MRSA","","1","38959","0.26","","0.11"
"Belmont Hospital","NSW","Medium hospitals","2016–17","MSSA","","3","40584","0.74","","0.42"
"Belmont Hospital","NSW","Medium hospitals","2017–18","MSSA","","4","38959","1.03","","0.44"
"Berrigan Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Berrigan Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","6705","0","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","6705","0","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Bingara Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","6705","0","","Not peered"
"Blacktown Hospital","NSW","Large hospitals","2010–11","Total","","25","120525","2.07","","1"
"Blacktown Hospital","NSW","Large hospitals","2011–12","Total","","31","118857","2.61","","0.93"
"Blacktown Hospital","NSW","Large hospitals","2012–13","Total","","13","120425","1.08","","0.97"
"Blacktown Hospital","NSW","Large hospitals","2013–14","Total","","16","125152","1.28","","0.85"
"Blacktown Hospital","NSW","Large hospitals","2014–15","Total","","15","127062","1.18","","0.80"
"Blacktown Hospital","NSW","Large hospitals","2015–16","Total","","15","134698","1.11","","0.68"
"Blacktown Hospital","NSW","Large hospitals","2016–17","Total","","8","157932","0.51","","0.73"
"Blacktown Hospital","NSW","Large hospitals","2017–18","Total","","22","165098","1.33","","0.67"
"Blacktown Hospital","NSW","Large hospitals","2016–17","MRSA","","1","157932","0.06","","0.14"
"Blacktown Hospital","NSW","Large hospitals","2017–18","MRSA","","8","165098","0.48","","0.10"
"Blacktown Hospital","NSW","Large hospitals","2016–17","MSSA","","7","157932","0.44","","0.60"
"Blacktown Hospital","NSW","Large hospitals","2017–18","MSSA","","14","165098","0.85","","0.56"
"Blayney Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","9301","0","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","9301","0","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Blayney Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","9301","0","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2010–11","Total","","1","25052","0.40","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2011–12","Total","","2","24994","0.80","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2012–13","Total","","0","26482","0","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2013–14","Total","","2","25997","0.77","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2014–15","Total","","0","25771","0","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2015–16","Total","","2","27826","0.72","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2016–17","Total","","1","28146","0.36","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2017–18","Total","","0","28556","0","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2016–17","MRSA","","1","28146","0.36","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2017–18","MRSA","","0","28556","0","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2016–17","MSSA","","0","28146","0","","Not peered"
"Blue Mountains Hospital","NSW","Unpeered","2017–18","MSSA","","0","28556","0","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","5399","0","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","5399","0","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Boggabri Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","5399","0","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Bombala Multi Purpose Service","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Bonalbo Hospital","NSW","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Boorowa Multi Purpose Service","NSW","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Boorowa Multi Purpose Service","NSW","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Boorowa Multi Purpose Service","NSW","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Boorowa Multi Purpose Service","NSW","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Boorowa Multi Purpose Service","NSW","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
